mtu 1500,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,29.2,16.7,28.1,17.5,
2,52.3,38.9,47.2,34.5,
3,63.9,52.0,44.6,44.9,
4,74.9,59.0,67.6,48.9,
5,75.3,64.0,65.2,44.7,
6,75.2,54.9,51.5,44.5,
7,74.8,50.7,55.3,39.0,
8,75.9,46.1,53.5,36.1,

mtu 9000,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,25.7,44.6,25.4,46.9,
2,47.7,77.7,68.2,73.5,
3,81.5,68.6,87.7,69.1,
4,87.4,67.8,88.1,56.7,
5,92.1,58.2,89.9,53.3,
6,92.3,58.9,90.4,52.2,
7,92.1,55.5,88.9,49.8,
8,91.9,54.5,88.5,50.0,

