mtu 1500,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,28.0,17.8,28.8,20.8,
2,51.9,37.4,47.8,35.4,
3,68.3,55.9,56.8,42.2,
4,75.4,67.2,66.2,46.5,
5,76.1,56.5,61.0,43.9,
6,76.6,51.3,49.5,42.6,
7,75.5,50.7,57.7,39.9,
8,76.0,49.1,47.2,35.1,

mtu 9000,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,34.5,40.8,27.1,49.6,
2,60.6,73.6,60.9,76.8,
3,69.6,76.9,83.4,61.7,
4,84.2,71.9,89.0,61.9,
5,92.0,63.1,91.0,52.3,
6,83.0,59.7,78.7,50.5,
7,92.3,56.3,88.3,49.5,
8,92.0,54.3,81.0,49.8,

