mtu 1500,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,27.3,19.8,21.5,15.5,
2,43.6,27.5,48.4,28.5,
3,68.5,49.1,59.6,39.3,
4,75.6,45.4,66.5,43.4,
5,75.7,55.7,67.4,47.4,
6,74.9,55.8,68.4,42.7,
7,72.1,51.7,52.6,40.0,
8,76.5,46.8,45.6,38.5,

mtu 9000,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,35.2,41.2,24.3,44.7,
2,68.1,80.3,59.2,72.9,
3,76.6,77.9,84.7,68.4,
4,87.7,70.0,85.3,59.4,
5,92.7,63.9,90.6,54.1,
6,92.5,56.0,90.1,51.4,
7,91.7,56.1,84.6,50.5,
8,91.8,55.5,89.2,49.0,

