mtu 1500,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,25.9,19.9,26.8,16.4,
2,49.3,40.3,41.2,32.6,
3,55.4,34.5,58.9,32.5,
4,68.3,55.7,60.1,42.9,
5,73.8,57.2,56.0,43.8,
6,75.2,56.4,53.0,44.4,
7,75.6,49.6,45.9,35.3,
8,74.1,46.3,49.1,39.3,

mtu 9000,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,25.4,48.4,24.7,47.1,
2,67.9,77.5,59.4,65.0,
3,71.1,83.8,84.2,68.3,
4,87.6,68.5,89.9,56.8,
5,92.1,64.7,90.6,52.7,
6,92.4,56.6,89.9,51.5,
7,91.9,55.9,89.0,50.3,
8,91.8,56.3,89.2,46.3,

