mtu 1500,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,28.0,31.8,33.5,32.1,
2,73.7,64.5,70.1,78.2,
3,85.1,84.3,77.4,86.1,
4,90.0,90.1,89.5,86.7,
5,91.3,91.4,88.7,90.0,
6,91.4,91.4,89.2,89.5,
7,90.2,90.9,88.9,89.3,
8,90.6,90.1,87.7,88.2,

mtu 9000,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,31.7,29.1,31.6,36.6,
2,57.1,57.9,67.1,70.5,
3,85.1,78.9,87.4,87.0,
4,95.7,95.9,94.7,90.2,
5,95.2,96.5,90.9,94.2,
6,91.0,96.0,91.1,93.2,
7,83.4,95.7,78.6,93.3,
8,95.2,95.2,80.1,80.3,

