mtu 1500,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,23.4,19.8,24.6,17.3,
2,56.4,33.6,47.8,33.2,
3,71.3,44.7,61.2,31.8,
4,69.2,42.3,65.9,41.5,
5,76.8,48.6,68.1,45.1,
6,76.6,54.5,60.9,40.7,
7,76.5,52.7,37.6,39.3,
8,76.2,47.1,51.8,37.7,

mtu 9000,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,31.3,45.6,31.5,45.4,
2,52.2,76.5,74.3,78.9,
3,65.5,81.5,80.0,63.7,
4,85.2,69.0,85.1,58.0,
5,91.7,62.2,90.1,54.3,
6,92.0,56.9,90.5,50.3,
7,92.4,58.0,89.8,49.5,
8,90.8,55.0,88.1,49.5,

