mtu 1500,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,21.3,21.8,26.3,17.0,
2,48.8,37.1,46.6,35.4,
3,67.0,49.8,63.0,38.3,
4,73.8,66.0,66.4,44.5,
5,74.0,60.1,69.8,33.7,
6,75.8,57.0,56.7,40.3,
7,74.1,55.1,44.8,40.5,
8,75.0,46.0,48.8,38.9,

mtu 9000,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,31.9,50.5,24.9,53.2,
2,53.3,75.1,54.1,74.4,
3,81.8,82.3,81.0,67.9,
4,81.9,73.3,89.1,57.7,
5,92.6,65.3,90.5,53.8,
6,91.6,57.6,90.4,51.3,
7,92.5,56.2,86.7,50.8,
8,91.8,56.9,88.6,49.4,

