mtu 1500,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,32.3,19.3,28.7,20.5,
2,49.8,33.3,48.7,26.0,
3,72.7,41.7,45.8,39.9,
4,73.1,60.9,67.1,37.2,
5,76.7,62.8,68.9,43.5,
6,76.5,58.5,67.1,42.6,
7,76.5,46.4,58.5,39.3,
8,76.5,48.7,48.1,37.6,

mtu 9000,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,24.4,51.7,26.8,45.5,
2,71.8,77.7,54.5,59.3,
3,69.3,82.4,83.3,71.1,
4,84.1,72.3,89.8,57.6,
5,90.8,64.3,90.7,54.4,
6,92.3,57.0,90.5,50.6,
7,92.1,55.4,89.5,50.5,
8,91.9,67.1,85.0,49.2,

