mtu 1500,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,36.5,33.0,37.6,31.1,
2,57.0,47.3,65.7,48.1,
3,89.3,74.3,80.9,79.0,
4,90.4,84.0,87.3,81.6,
5,89.4,87.6,87.2,87.0,
6,91.2,90.3,88.0,89.1,
7,90.5,89.8,88.5,87.9,
8,90.3,90.4,88.2,88.4,

mtu 9000,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,28.6,30.2,37.9,43.1,
2,61.1,63.0,71.8,61.5,
3,90.0,79.0,83.1,89.2,
4,95.6,96.0,86.7,94.8,
5,91.9,96.5,89.4,84.5,
6,89.8,95.8,86.0,92.7,
7,86.0,95.6,94.2,90.2,
8,94.7,94.8,66.3,92.3,

