mtu 1500,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,32.2,37.5,28.0,33.6,
2,68.7,70.0,64.0,71.6,
3,83.8,84.5,72.8,87.3,
4,91.5,91.3,89.8,90.0,
5,91.2,91.5,89.7,90.0,
6,91.2,91.2,88.2,88.9,
7,90.8,91.5,88.9,89.0,
8,90.5,90.6,87.7,88.9,

mtu 9000,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,30.9,34.0,30.6,27.7,
2,58.1,59.1,60.2,54.2,
3,85.3,83.5,89.6,82.4,
4,96.0,96.2,91.1,88.1,
5,96.3,96.2,92.0,85.4,
6,87.7,92.7,94.1,81.7,
7,95.3,93.1,75.5,93.9,
8,88.3,95.2,89.3,94.5,

