mtu 1500,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,31.9,21.0,30.7,20.8,
2,56.8,36.5,50.1,34.7,
3,62.5,52.6,63.1,47.6,
4,73.5,61.3,42.0,52.8,
5,76.3,47.8,65.7,45.5,
6,76.4,56.5,60.4,43.5,
7,75.2,54.1,50.1,33.9,
8,75.5,45.7,47.9,31.2,

mtu 9000,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,27.5,48.7,28.0,58.8,
2,50.9,78.9,62.0,64.5,
3,71.5,78.2,82.6,68.8,
4,88.0,67.3,87.6,57.5,
5,92.2,58.7,90.4,52.4,
6,92.1,57.1,89.7,51.0,
7,92.3,56.0,89.7,50.8,
8,91.7,54.7,86.7,50.1,

