mtu 1500,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,31.6,24.2,27.9,17.3,
2,51.1,39.6,51.9,34.5,
3,73.8,58.2,62.3,40.9,
4,73.4,47.3,66.3,50.6,
5,75.4,51.6,69.3,41.1,
6,76.1,56.4,58.2,43.4,
7,76.2,51.6,53.5,39.3,
8,76.1,47.3,49.3,33.9,

mtu 9000,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,21.7,54.0,27.2,31.2,
2,71.1,76.1,64.7,53.4,
3,69.4,76.4,83.5,68.7,
4,86.8,64.9,82.7,56.1,
5,91.9,57.4,90.2,55.7,
6,92.5,57.2,84.4,51.2,
7,92.8,55.4,89.3,50.0,
8,91.7,54.4,88.7,48.9,

