mtu 1500,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,30.3,21.0,29.7,21.6,
2,50.3,33.9,53.1,37.8,
3,67.9,57.8,60.6,47.5,
4,74.9,63.0,69.0,52.3,
5,72.0,51.2,69.6,41.9,
6,76.1,55.6,64.7,43.6,
7,76.1,52.1,51.6,40.5,
8,76.3,49.1,52.1,38.8,

mtu 9000,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,33.5,42.9,27.6,40.7,
2,49.4,73.8,63.4,74.1,
3,75.8,75.8,81.4,68.7,
4,85.2,66.9,85.1,56.8,
5,92.2,60.5,90.2,53.2,
6,92.2,57.6,88.9,51.1,
7,88.9,59.1,89.4,50.6,
8,92.5,55.0,78.7,50.0,

