mtu 1500,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,30.4,21.4,22.6,21.5,
2,51.0,39.8,46.6,38.1,
3,68.2,56.4,60.9,43.4,
4,76.1,57.6,62.7,40.5,
5,75.8,66.8,69.8,50.1,
6,76.4,44.3,57.9,45.3,
7,76.5,55.5,56.8,39.0,
8,76.8,48.3,53.3,39.4,

mtu 9000,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,26.5,44.9,35.0,38.1,
2,49.6,76.8,51.9,78.4,
3,67.1,82.1,83.1,66.5,
4,89.9,72.9,83.8,62.6,
5,90.3,62.8,79.9,54.4,
6,92.2,57.3,79.1,50.7,
7,91.9,55.7,78.3,48.7,
8,91.9,54.5,79.6,49.1,

