mtu 1500,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,24.9,16.5,28.1,20.4,
2,54.2,41.7,46.3,33.9,
3,69.7,45.7,55.5,47.1,
4,76.2,45.6,69.1,47.3,
5,76.2,60.5,69.1,44.0,
6,76.2,56.7,54.5,40.2,
7,76.4,52.4,48.7,40.1,
8,75.5,46.4,48.5,38.4,

mtu 9000,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,24.6,47.7,32.4,46.9,
2,50.6,77.2,77.8,80.7,
3,79.6,68.5,85.5,71.4,
4,87.5,70.4,89.0,58.1,
5,92.1,63.7,90.6,55.1,
6,92.0,56.8,90.2,50.8,
7,92.1,56.5,89.3,50.6,
8,91.9,54.5,82.1,48.9,

