mtu 1500,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,29.0,34.9,28.4,30.1,
2,55.1,66.0,65.2,64.0,
3,87.4,84.0,81.2,83.7,
4,89.2,91.7,89.6,89.4,
5,91.5,92.0,89.5,88.5,
6,91.3,91.2,89.2,89.6,
7,91.0,91.9,89.0,89.1,
8,90.1,90.5,88.3,89.0,

mtu 9000,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,28.3,30.6,33.5,27.7,
2,53.2,60.2,69.1,54.3,
3,81.7,85.2,86.5,86.4,
4,96.7,96.5,90.3,90.8,
5,96.2,95.9,90.5,94.0,
6,95.9,96.1,80.5,92.4,
7,95.5,89.3,78.1,86.5,
8,83.8,95.1,76.9,93.9,

