mtu 1500,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,27.7,33.3,34.6,34.2,
2,55.1,64.8,75.4,64.9,
3,87.8,89.4,81.6,84.9,
4,91.9,91.2,87.0,87.0,
5,91.6,91.3,89.6,88.4,
6,91.3,91.1,89.5,89.6,
7,91.0,90.9,88.5,88.9,
8,91.0,90.4,88.3,88.9,

mtu 9000,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,29.2,36.9,28.0,29.0,
2,62.3,61.7,72.3,66.6,
3,88.3,82.2,90.3,87.4,
4,95.9,96.8,93.4,94.5,
5,96.1,96.2,87.1,84.4,
6,96.1,96.1,80.9,94.2,
7,88.0,95.7,91.8,89.3,
8,82.3,94.8,86.8,74.8,

