mtu 1500,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,40.9,38.1,34.0,30.0,
2,74.6,68.3,63.0,66.7,
3,76.6,89.0,84.1,80.8,
4,91.5,90.9,89.9,89.4,
5,90.8,91.7,90.2,89.2,
6,91.2,90.6,90.5,89.4,
7,90.5,90.9,89.0,87.0,
8,90.5,90.2,88.0,88.6,

mtu 9000,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,31.4,33.6,39.1,30.2,
2,59.1,57.9,62.6,57.9,
3,83.6,82.9,86.0,89.3,
4,96.8,96.7,93.1,88.3,
5,95.6,95.7,89.8,84.5,
6,95.6,93.6,92.2,79.5,
7,84.5,95.7,87.6,82.2,
8,88.6,95.2,87.5,92.9,

