mtu 1500,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,25.4,21.9,28.9,16.4,
2,46.6,26.2,47.7,32.3,
3,65.5,46.2,58.1,42.3,
4,67.1,51.5,68.6,42.6,
5,76.0,60.4,65.6,49.5,
6,77.1,54.7,70.5,39.1,
7,75.7,41.6,55.1,32.2,
8,76.6,49.4,51.6,31.8,

mtu 9000,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,30.7,51.2,30.6,55.9,
2,72.4,76.9,69.9,75.1,
3,80.5,80.8,87.1,71.7,
4,82.7,70.9,89.3,58.4,
5,90.1,60.6,90.5,52.4,
6,92.0,57.8,90.1,51.1,
7,92.0,57.4,87.8,50.7,
8,92.1,54.4,83.9,48.0,

