mtu 1500,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,30.2,21.0,28.7,19.8,
2,42.6,38.8,49.1,33.8,
3,54.8,56.6,56.3,47.9,
4,75.8,37.8,68.1,55.1,
5,75.9,49.4,70.0,38.4,
6,76.6,57.5,61.1,40.6,
7,77.0,53.2,53.4,37.9,
8,76.1,47.0,51.9,38.1,

mtu 9000,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,36.7,44.9,25.7,44.0,
2,58.4,79.4,57.4,70.6,
3,73.0,82.0,85.2,67.6,
4,85.5,69.1,89.8,56.2,
5,92.2,62.8,83.0,52.0,
6,92.0,58.8,87.3,50.9,
7,91.8,58.2,89.4,49.8,
8,91.8,54.4,88.3,49.2,

