mtu 1500,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,30.4,21.2,26.7,19.1,
2,54.7,37.6,45.3,36.2,
3,67.8,51.0,61.9,49.3,
4,74.2,59.2,68.0,46.4,
5,73.2,53.9,68.4,40.0,
6,76.2,60.8,60.6,33.4,
7,75.5,48.8,53.2,35.3,
8,75.7,45.2,49.0,32.4,

mtu 9000,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,25.8,40.9,24.4,43.6,
2,48.3,79.3,74.6,72.5,
3,75.0,83.6,84.2,67.4,
4,86.9,69.1,85.7,56.6,
5,92.0,61.4,90.2,54.6,
6,92.1,57.2,89.3,51.5,
7,91.8,62.5,89.9,50.5,
8,91.9,56.8,88.9,49.6,

