mtu 1500,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,28.7,22.0,29.2,20.6,
2,50.9,42.3,43.4,40.7,
3,71.1,54.5,63.8,41.7,
4,73.4,59.5,67.8,43.8,
5,76.7,61.3,70.5,47.5,
6,76.4,60.1,64.7,42.4,
7,76.4,50.6,55.9,39.6,
8,76.7,48.9,47.7,32.5,

mtu 9000,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,28.3,48.8,29.6,48.4,
2,46.4,78.4,65.3,74.4,
3,74.3,83.1,80.6,70.5,
4,89.5,65.5,84.7,60.4,
5,92.0,63.4,90.1,53.0,
6,87.7,57.9,90.6,50.9,
7,92.1,55.8,89.1,49.9,
8,89.5,54.3,86.6,48.7,

