mtu 1500,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,33.5,34.9,36.0,33.2,
2,62.6,74.2,70.2,66.8,
3,78.2,87.0,82.6,71.9,
4,89.0,91.1,89.9,88.6,
5,90.5,91.4,90.5,90.2,
6,91.2,91.4,89.5,88.9,
7,91.0,90.4,89.4,88.7,
8,90.5,91.2,87.8,87.1,

mtu 9000,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,31.7,37.4,45.7,29.9,
2,61.4,58.0,62.7,58.6,
3,87.0,82.4,84.2,84.2,
4,96.6,97.3,91.3,90.1,
5,95.6,93.1,87.9,95.0,
6,91.5,96.1,81.0,93.3,
7,84.8,95.7,84.5,85.5,
8,84.7,83.9,84.8,81.0,

