mtu 1500,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,34.8,37.1,39.0,47.1,
2,66.1,77.2,53.1,77.7,
3,84.3,90.4,84.1,86.2,
4,86.5,87.2,85.9,88.7,
5,91.3,91.7,88.8,90.5,
6,91.3,91.0,88.5,88.7,
7,90.4,90.9,88.2,88.8,
8,90.5,90.5,87.9,88.7,

mtu 9000,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,35.6,39.7,35.4,35.8,
2,63.2,60.4,68.5,64.8,
3,81.4,84.8,89.5,82.1,
4,96.2,96.4,91.5,87.8,
5,94.7,96.5,94.2,93.0,
6,90.4,95.9,83.0,82.8,
7,85.2,95.6,94.3,94.0,
8,89.6,95.2,90.7,91.9,

